province,0
Abra,10.57
Agusan del Norte,9.41
Agusan del Sur,8.61
Aklan,0.00
Albay,0.00
Angeles,0.00
Antique,0.00
Apayao,6.51
Aurora,0.00
Bacolod,0.00
Baguio,0.00
Basilan,0.00
Bataan,0.00
Batanes,
Batangas,7.73
Benguet,0.00
Biliran,0.00
Bohol,0.00
Bukidnon,9.82
Bulacan,6.51
Butuan,19.36
Cagayan,9.34
Cagayan de Oro,0.00
Caloocan,0.00
Camarines Norte,0.00
Camarines Sur,15.36
Camiguin,0.00
Capiz,15.94
Catanduanes,0.00
Cavite,0.00
Cebu,0.00
Compostela Valley,0.00
Cotabato,8.50
Dagupan,44.99
Davao,0.00
Davao Oriental,0.00
Davao del Norte,7.90
Davao del Sur,0.00
Eastern Samar,0.00
General Santos,9.21
Guimaras,0.00
Ifugao,10.64
Iligan,0.00
Ilocos Norte,48.14
Ilocos Sur,27.75
Iloilo,0.00
Isabela,10.29
Kalinga,7.50
La Union,23.79
Laguna,8.78
Lanao del Norte,8.09
Lanao del Sur,10.34
Lapu-Lapu,0.00
Las Pinas,0.00
Leyte,0.00
Lucena,0.00
Maguindanao,7.23
Makati,78.82
Malabon,0.00
Mandaluyong City,62.87
Mandaue,0.00
Manila,13.13
Marikina,0.00
Marinduque,0.00
Masbate,0.00
Mindoro Occidental,0.00
Mindoro Oriental,0.00
Misamis Occidental,
Misamis Oriental,0.00
Mountain Province,0.00
Muntinlupa,0.00
Naga,19.38
Navotas,0.00
Negros Occidental,14.13
Negros Oriental,
Northern Samar,0.00
Nueva Ecija,9.92
Nueva Vizcaya,14.25
Olongapo,0.00
Ormoc,0.00
Palawan,0.00
Pampanga,8.49
Pangasinan,17.58
Paranaque,6.51
Pasay,0.00
Pasig,56.94
Pateros,77.49
Puerto Princesa,0.00
Quezon,17.61
Quezon City,0.00
Quirino,0.00
Rizal,16.23
Romblon,0.00
Samar,11.87
San Juan,0.00
Santiago,6.51
Sarangani,23.94
Siquijor,
Sorsogon,0.00
South Cotabato,6.51
Southern Leyte,0.00
Sultan Kudarat,7.14
Sulu,0.00
Surigao del Norte,0.00
Surigao del Sur,
Tacloban,0.00
Taguig,43.87
Tarlac,10.72
Tawi-Tawi,0.00
Valenzuela,0.00
Zambales,0.00
Zamboanga,0.00
Zamboanga Sibugay,0.00
Zamboanga del Norte,0.00
Zamboanga del Sur,15.31
